index,tag,depth,char_count,word_count,text
0,title,3,6,1,Google
1,a,5,5,1,About
2,a,5,5,1,Store
3,a,10,5,1,Gmail
4,a,10,6,1,Images
5,a,9,7,2,Sign in
6,span,10,7,2,Sign in
7,li,10,15,3,See more Delete
8,span,15,8,2,See more
9,a,8,11,1,Advertising
10,a,8,8,1,Business
11,a,8,16,3,How Search works
12,a,8,52,10,"Build, create, and do more with AI tools from Google"
13,span,9,52,10,"Build, create, and do more with AI tools from Google"
14,a,8,7,1,Privacy
15,a,8,5,1,Terms
16,span,8,117,18,Settings Search settings Advanced search Your data in Search Search history Search help Send feedback Dark theme: Off
17,span,9,117,18,Settings Search settings Advanced search Your data in Search Search history Search help Send feedback Dark theme: Off
18,a,15,15,2,Search settings
19,a,15,15,2,Advanced search
20,a,15,19,4,Your data in Search
21,a,15,14,2,Search history
22,a,15,11,2,Search help
23,span,15,13,2,Send feedback
